slang,formal
doeloe,dulu
dolali,pada lupa
dolan,bermain
dongg,dong
donggg,dong
dongggg,dong
donk,dong
donkk,dong
donks,dong
donload,unduh
donlod,unduh
donlot,unduh
dont,jangan
donx,dong
doong,dong
doonk,dong
dooong,dong
dosa2mu,dosa-dosamu
dosaa,dosa
dosaaaaaaaaaa,dosa
dosax,dosanya
dpat,dapat
dpatkan,dapatkan
dpet,dapat
dpke,dipakai
dpn,depan
dposisi,diposisi
dpotong,dipotong
dpstikn,dipastikan
dpt,dapat
dptkan,dapatkan
dptnya,dapatnya
dr,dari
dramaa,drama
dri,dari
drii,dari
drimana,darimana
drimnanya,darimananya
dripada,daripada
dripd,daripada
dripda,daripada
drmh,di rumah
drmn,darimana
drpada,daripada
drpd,daripada
drtd,daritadi
dsana,disana
dsar,dasar
dsb,dan sebagainya
dsini,disini
dsitu,disitu
dskolah,di sekolah
dsktr,di sekitar
dsmber,desember
dsna,disana
dsni,disini
dsno,disana
dsr,dasar
dsrny,dasarnya
dsruh,disuruh
dssi,disisi
dst,dan seterusnya
dstu,disitu
dtang,datang
dteng,datang
dtg,datang
dtggu,ditunggu
dtgin,datangin
dtgkan,datangkan
dtinggl,ditinggal
dtnggu,ditunggu
dtunggu,ditunggu
dturunkn,diturunkan
dua2nya,dua-duanya
duanyaa,duanya
duetin,duet
duhh,duh
duhhh,duh
duhhhhh,duh
duitna,duitnya
dulurrr,dulur
duluu,dulu
duluuu,dulu
dumsss,dong
dung,dong
dunk,dong
dureen,duren
durhaka2,durhaka-durhaka
during,selama
duuhh,duh
duuhhh,duh
duuhhhhh,duh
duuuhh,duh
duuuhhh,duh
duwe,punya
duwit,duit
dwh,deh
dwsa,dewasa
dy,dia
dya,dia
ea,ya
eakyu,waktu
edaaaan,edan
edaaan,edan
edaaann,edan
edannn,edan
editannn,editan
eeeeh,eh
eeeehhhh,eh
eehhh,eh
eey,eh
ehh,eh
ehhh,eh
eksprsi,ekspresi
elaaaahhhh,alah
elahh,alah
elo,kamu
elo2,lo-lo
eloo,lo
elu,kamu
elus2,elus-elus
ema,emak
emak2,emak-emak
emakx,emaknya
emang,memang
emangnya,memangnya
emank,memang
emeessss,gemas
emeezzz,gemas
emeshh,gemas
emesshhh,gemas
emessss,gemas
emg,emang
emk,emak
emng,emang
emngnya,memangnya
emnknya,memangnya
emoh,tidak mau
enakkkkk,enak
endiri,sendiri
endonesa,Indonesia
enelaan,beneran
engak,tidak
engga,tidak
"engga""",enggak-enggak
enggk,tidak
engk,tidak
enk,enak
enough,cukup
entahhh,entah
entar,nanti
enteng,ringan
entr,entar
enyak,enak
epe,apa
etc,dan lain-lain
euyyyyy,euy
event,acara
every,setiap
everybody,semua orang
everything,segala sesuatu
everywhere,dimanapun
ex,contoh
excelent,bagus
exit,keluar
expresi,ekspresi
eyke,aku
face,muka
fact,fakta
failed,gagal
fakta2,fakta-fakta
fakultass,fakultas
fans,fan
fans2,fan-fan
fatanik,fanatik
father,ayah
fav,favorit
favoriteeee,favorit
fee,biaya
ferari,ferrari
fhoto,foto
fhotonya,fotonya
fi,di
fikiran,pikiran
filem,film
fillm,film
filmny,filmnya
finally,akhirnya
flim.a,filmnya
flm,film
focus,fokus
folback,follow back
folbacknya,follow back nya
folbc,follow back
folbcak,follow back
folbek,follow back
folbeknya,follow back nya
follback,follow back
follbacknya,follow back nya
follbc,follow back
follo,follow
followbak,follow back
folo,follow
folow,follow
folowback,follow back
folowbak,follow back
folowbcak,follow back
football,sepak bola
for,untuk
forged,lupa
forget,lupa
forgot,lupa
fotbar,foto bareng
"foto""",foto-foto
foto2,foto-foto
foto2nya,foto-fotonya
fotoin,memfoto
fotony,fotonya
frestasiii,prestasi
friday,jumat
friend,teman
frofil,profil
from,dari
fto,foto
fto2,foto-foto
function,fungsi
funny,lucu
funtion,fungsi
funy,lucu
g,tidak
ga,tidak
gaa,enggak
gaada,tidak ada
gaakan,tidak akan
gaasik,tidak asik
gabakal,tak akan
gabareng,tidak bareng
gabebas,tidak bebas
gabeda,tidak beda
gaberani,tidak berani
gabilang,tidak bilang
gabisa,tidak bisa
gabole,tidak boleh
gaboleh,tidak boleh
gabosen,tidak bosen
gabs,tidak bisa
gad,tidak ada
gada,tidak ada
gadaiin,gadaikan
Gadapet,tidak dapat
gadein,gadaikan
gadeket,tidak dekat
gadiajak,tidak diajak
gadibales,tidak dibalas
gadiss,gadis
gae,membuat
gaean,pekerjaan
gaenak,tidak enak
gaene,biasanya
gag,tidak
gagahx,gagahnya
gaharus,enggak harus
gahoel,gaul
gahol,gaul
gaikut,tidak ikut
gaikutaaan,tidak ikutan
gaikutan,tidak ikutan
gaiso,tidak bisa
gajadi,tidak jadi
gajalan,tidak jalan
gajanji,tidak janji
gajauh,tidak jauh
Gajd,tidak jadi
Gaje,tidak jelas
gajelas,tidak jelas
gajenguk,tidak menjenguk
gak,tidak
gakada,tidak ada
Gakan,tidak akan
gakbilang,tidak bilang
gakbisa,tidak bisa
gakdeh,tidak deh
gakenak,tidak enak
gakjadi,tidak jadi
gakk,enggak
gakkk,enggak
gakmau,tidak mau
gakpapa,tidak apa-apa
gakpenting,tidak penting
gakpernah,tidak pernah
gaksabar,tidak sabar
gaksemua,tidak semua
gaksih,tidak sih
gaktau,tidak tau
gaktuh,tidah tuh
gakuat,enggak kuat
gakusah,enggak usah
gakwad,enggak kuat
gamain,tidak main
gamales,tidak malas
gamao,tidak mau
gamasuk,tidak masuk
gamau,tidak mau
gambarin,gambarkan
gamsk,tidak masuk
gamuat,tidak muat
gamungkin,tidak mungkin
gan,juragan
gangajak,tidak mengajak
Gangerti,tidak mengerti
gangguin,mengganggu
ganguin,gangguin
gans,ganteng
ganteeeeng,ganteng
ganteng2,ganteng-ganteng
gantengg,ganteng
gantenggg,ganteng
gantengkuuuuuu,gantengku
gantengnyaaaa,gantengnya
ganteung,ganteng
gantheng,ganteng
gantiin,gantikan
ganti'kn,menggantikan
gantinen,ganti saja
gantng,ganteng
gantweng,ganteng
gaosah,tidak usah
gapada,tidak pada
gapaham,tidak paham
gapake,tidak pakai
gapap,enggak apa-apa
gapapa,tidak apa-apa
gapercaya,tidak percaya
gaperlu,tidak perlu
gapernah,tidak pernah
gapo,tidak apa-apa
gaprgi,enggak pergi
gaptek,gagap teknologi
gapulang,tidak pulang
gapunya,enggak punya
gara'',gara-gara
"gara""",gara-gara
gara2,gara-gara
garemin,garami
garuk2,garuk-garuk
gasabar,tidak sabar
gasalah,tidak salah
gasanggup,tidak sanggup
gasecerah,tidak secerah
gasedingin,tidak sedingin
gasekeras,tidak sekeras
gaseru,tidak seru
gasia2,tidak sia-sia
gasih,tidak sih
gasik,datang lebih awal
gasuka,tidak suka
gatau,tidak tau
gataunya,enggak taunya
gatel,gatal
gathel,gatal
gatuh,tidak tuh
Gausa,tidak usah
gausah,tidak usah
gaush,tidak usah
gawake,bawakan
gawakne,bawakan
gawl,gaul
gawul,gaul
gayalu,gayamu
gayannxa,gayanya
gayany,gayanya
gayax,gayanya
gbawa,tidak bawa
gbk,Gelora Bung Karno
gblg,tidak bilang
gblk,tidak balik
gbs,tidak bisa
gbsa,tidak bisa
gda,tidak ada
gde,gede
gebetan,pasangan
gebetn,pasangan
gebleg,geblek
geblek,bodoh
gede,besar
gedeg,gedek
gedenya,besarnya
gedhe2an,besar-besaran
geeelaakk,gila
geetoo,begitu
gegra,gegara
geh,gih
gehh,gih
gelem,bersedia
gelo,gila
gemay,gemas
gemeeezzzz,gemas
gemeessss,gemas
gemes,gemas
gemesiin,menggemaskan
gemesin,menggemaskan
gemesinnnnn,menggemaskan
gemesnya,gemasnya
gemess,gemas
gemesshh,gemas
gemesshzzzzhzzhzhzhsjssjs,gemas
gemesss,gemas
gemesyak,gemas ya
gemez,gemas
gemezz,gemas
gemezzzz,gemas
gemmeeezzz,gemas
gendeng,bodoh
gendheng,bodoh
gendud,gemuk
genduut,gendut
geneeee,begini
genggg,geng
genittt,genit
geto,begitu
getoh,begitu
geuliiiiiiis,geulis
gewlaaaaa,gila
gg,tidak
gga,enggak
giitu,begitu
gilaa,gila
gilaaa,gila
gilaaaa,gila
gilaaaaaa,gila
gilak,gila
gilakkk,gila
gilakkkkk,gila
gilakkkkkk,gila
gile,gila
gils,gila
gilsss,gila
gilzz,gila
gimana,bagaimana
gimanaa,bagaimana
gimanaaaa,bagaimana
gimane,bagaimana
gimn,bagaimana
gimna,bagaimana
gingsungny,gingsulnya
gini,begini
ginian,beginian
ginii,begini
giniii,begini
giniin,beginikan
ginting,ganteng
giti,begitu
gitu,begitu
gitu2,begitu-gitu
gituan,begituan
gituh,begitu
gituin,begitukan
gitulah,begitulah
gituu,begitu
gituuu,begitu
gituuuuu,begitu
gjd,tidak jadi
gjdi,tidak jadi
gjls,tidak jelas
gjnji,tidak janji
gk,tidak
gkhianati,mengkhianati
gkk,enggak
gkkan,enggak akan
gksalah,enggak salah
gksi,enggak sih
glembeeeer,gelambir
gmana,bagaimana
gmanapun,bagaimanapun
gmau,enggak mau
gmbr,gambar
gmn,bagaimana
gmna,bagaimana
gmne,bagaimana
gmpg,gampang
gn,begini
gndakan,gandakan
gni,begini
gnii,begini
gnti,ganti
gnyngka,enggak menyangka
goblokkk,goblok
goceng,lima ribu
godan,godaan
gokiiill,gila
gokil,gila
gokill,gila
gokilll,gila
gokillllll,gila
gokilnya,gilanya
goncengin,boncengkan
good luck,semoga berhasil
goodmorning,selamat pagi
goro2,gara-gara
gosipin,menggosipkan
gossip2.an,gosip-gosipan
gpl,tidak pakai lama
gpp,tidak-apa-apa
gpplah,tidak apa-apalah
gr2,gara-gara
gra,gara-gara
gra2,gara-gara
graaatiiiis,gratis
grade,tingkat
gratiss,gratis
gratisss,gratis
greged,greget
grgr,gara-gara
grunya,gurunya
gt,begitu
gtau,enggak tau
gthu,begitu
gtu,begitu
"gtu""",begitu-gitu
"gtu""an",begitu-gituan
gtu2,begitu-gitu
gtuh,begitu
gtuu,begitu
gtw,tidak tau
gua,saya
guaa,gua
guaaaaaaa,gua
guanteng,ganteng
gue,saya
guee,gue
gueee,gue
gueeeee,gue
gueh,saya
gunaa,guna
guw,gue
guweh,saya
gw,saya
gwe,saya
gx,tidak
gy,sedang
gya,gaya
hadapin,menghadapi
haddeh,aduh
hadeeehhh,aduh
hadeehh,aduh
hadeeuh,aduh
hadeuh,aduh
hadeuuh,aduh
hadeuuhhhh,aduh
hadirr,hadir
hadirrr,hadir
haduh,aduh
haduuuh,aduh
haii,hai
haiii,hai
hal2,hal-hal
halahh,alah
halangin,halangi
halllo,halo
hallo,halo
hallooo,halo
halooo,halo
halow,halo
hampasss,hempas
hancurin,menghancurkan
hancuuuuuy,hancur
hany,hanya
hape,hp
hapi,senang
"happi""",hepi-hepi
happy,senang
happybday,selamat ulang tahun
hapusin,hapuskan
haragain,menghargai
hareem,perempuan
harg,harga
hargnya,harganya
hargonyo,harganya
hargs,harga
hari2,hari-hari
haru,harus
hasek,asyik
hasilnyaaa,hasilnya
haslnya,hasilnya
hat,hati
"hati""",hati-hati
hati.a,hatinya
hati2,hati-hati
hatii,hati
hatiiii,hati
hawong,lhawong
hay,hai
hayal,khayal
hayalanku,khayalanku
hayooo,hayo
hayukk,hayo
hayuu,hayo
hbd,selamat ulang tahun
hbis,habis
hbs,habis
hdiah,hadiah
hdiahnya,hadiahnya
hdirkan,hadirkan
hdk,hendak
hdp,hidup
hdpn,hadapan
hdpnya,hidupnya
hdup,hidup
hebaat,hebat
hebatt,hebat
hedeuuhh,aduh
heeee,hai
hehh,eh
heii,hai
helloo,halo
hellooooooo,halo
helo,halo
helooooo,halo
hematt,hemat
hempaass,hempas
heng,error
hgga,hingga
hianatin,khianati
hidiyah,hidayah
hidp,hidup
hidpmu,hidupmu
hiduppp,hidup
hidupppp,hidup
hidupx,hidupnya
hiduupppp,hidup
hiii,hai
hijaabbb,hijab
hijabb,hijab
hijap,hijab
hilangin,menghilangkan
hilangv,hilang
himana,bagaimana
hinga,hingga
hiraukn,hiraukan
hiri,hari
hmpas,hempas
hmpir,hampir
hndak,hendak
hndk,hendak
hngga,hingga
hntu,hantu
hny,hanya
hnya,hanya
Hoam,ngantuk
hokiii,hoki
honest,jujur
hotak,botak
hotx,hotnya
hpus,hapus
hr,hari
hrapan,harapan
hrg,harga
hrga,harga
hrgnya,harganya
hri,hari
hrs,harus
hrsny,harusny
hrsnya,harusnya
hrus,harus
hrusnya,harusnya
hrz,harus
hsil,hasil
hsl,hasil
hslnya,hasilnya
ht,hati
htelnya,hotelnya
htiku,hatiku
hub,hubungi
hubngan,hubungan
hubunggi,hubungi
hujatann,hujatan
hungry,lapar
hy,hai
iaa,iya
ibdah,ibadah
ibliss,iblis
ibu2,ibu-ibu
ibuk2,ibu-ibu
idamann,idaman
idolaa,idola
idoolaaa,idola
idung,hidung
idungnya,hidungnya
idup,hidup
idupnya,hidupnya
igtlah,ingatlah
ihh,ih
ihhh,ih
ihhhh,ih
ihhhhh,ih
iih,ih
iihh,ih
iiih,ih
iiihh,ih
iiihhhh,ih
iiihhhhh,ih
iiii,ih
iiiihhhhhj,ih
iiiiiiiii,ih
iiiiiiiiii,ih
ijap,ijab
ijin,izin
ijo,hijau
ikh,ih
iki,ini
ikt,ikut
iktan,ikutan
iktn,ikutan
ikud,ikut
ikut2,ikut-ikut
ikut2an,ikut-ikutan
ikutin,ikuti
ilang,hilang
"ilang""",hilang-hilang
ilang2,hilang-hilang
ilang2an,hilang-hilangan
ilang-in,hilangkan
ilmh,ilmu
img,gambar
imoet,imut
imut2,imut-imut
imutt,imut
imutttttt,imut
imuttzz,imut
imuutt,imut
imuuttt,imut
in,ini
inbox,kotak masuk
inceran,incaran
include,termasuk
indahhh,indah
indefendet,independen
indh,indah
indo,indonesia
indoneaia,indonesia
indonesiaaa,indonesia
indonesiaah,indonesia
info,informasi
infonya,informasinya
information,informasi
informkan,informasikan
infox,informasinya
infpyunnnn,ampun
ingeet,ingat
inget,ingat
ingetin,mengingatkan
inggat,ingat
inggrisny,inggrisnya
inghinn,ingin
ingi,ingin
inginkn,inginkan
inginya,inginnya
ingt,ingat
ingtn,ingatan
inia,ini
iniehh,ini
inih,ini
inihhh,ini
inii,ini
iniii,ini
iniiiii,ini
iniiiiiiiiiiiiiii,ini
iniw,ini
inni,ini
inovation,inovasi
inpo,informasi
inpoh,informasi
insaallah,insyaAllah
insonniaaa,insomnia
insyaa,insyaAllah
insyaaloh,insyaAllah
insyah,insyaAllah
insyalah,insyaAllah
intrnet,internet
invit,mengajak
invite,mengajak
invte,mengajak
io,iya
iooo,lo
ireng,hitam
iriiiii,iri
iseh,masih
iseng2,iseng-iseng
isih,masih
isin,malu
isine,isinya
iso,bisa
isteri,istri
istimewaaa,istimewa
istiqamah,istikamah
istiqomah,istikamah
istiqomahhh,istikamah
istrht,istirahat
isuk,pagi
it,itu
ithu,itu
ituh,itu
itumahh,itumah
itung,hitung
itungan,hitungan
ituu,itu
ituuu,itu
ituuuu,itu
ityl,itil
iu,itu
iy,iya
iyaa,iya
iyaaa,iya
iyaaaa,iya
iyaap,iya
iyaappps,iya
iyadah,iya dah
iyadeh,iya dah
iyadong,iya dong
iyadund,iya dong
iyah,iya
iyak,iya
iyanih,iya nih
iyap,iya
iyasih,iya sih
iyaw,iya
iye,iya
iyedah,iya dah
iyelah,iyalah
iyeu,iya
iyh,iya
iyha,iya
iyo,iya
iyosih,iya sih
iyuh,iya
iyuuhhh,ih
iyuuuhhhh,ih
iyuwh,iya
j,saja
ja,saja
jaaangan,jangan
jaadii,jadi
jabar,Jawa Barat
jadii,jadi
jadiin,jadikan
jadilh,jadilah
jadina,jadinya
jadinye,jadinya
jadu,jadi
jadul,jaman dulu
jadulnya,jaman dulunya
jadwalnye,jadwalnya
jagain,jaga
jahate,jahatnya
jahatin,menjahati
jakety,jaketnya
jakpus,Jakarta Pusat
jakrta,Jakarta
jaksel,Jakarta Selatan
jaktim,Jakarta Timur
"jalan""nya",jalan-jalannya
jalan2,jalan-jalan
jalanani,menjalani
jalanin,menjalani
jalankn,jalankan
jalanya,jalannya
jamam,jaman
jaman2,jaman-jaman
jaman2nya,jaman-jamannya
jamanna,jamannya
jamanny,jamannya
jamany,jamannya
jamanya,jamannya
jamanye,jamannya
jan,jangan
"jangan""",jangan-jangan
jangan2,jangan-jangan
jangn,jangan
janjutin,lanjutkan
janka,jangka
jaoooh,jauh
japan,jepang
jare,kata
jari2,jari-jari
jaringanx,jaringannya
jaringn,jaringan
jateng,Jawa Tengah
jatoh,jatuh
jatuhnyaa,jatuhnya
jauhh,jauh
jauhhh,jauh
jauhin,jauhi
jauuhhh,jauh
jawabanny,jawabannya
jaz,jazz
jd,jadi
jdi,jadi
jdian,jadian
jdii,jadi
jdulnya,judulnya
jdwl,jadwal
jd'y,jadinya
"jelas""",jelas-jelas
jelas2,jelas-jelas
jelase,jelas
jelashh,jelas
jelasssss,jelas
"jelek""in",menjelek-jelekkan
jelek2,jelek-jelek
jelekin,menjelekkan
jelex,jelek
jels,jelas
jendes,janda
jendess,janda
jendesss,janda
jendral,jenderal
jenenge,namanya
jenengi,beri nama
jeniuss,jenius
jep,jeep
jerewi,jerawat
jg,juga
jga,juga
jgan,jangan
jgja,jogja
jgk,juga
jgn,jangan
jgn2,jangan-jangan
jgnkan,jangankan
jh,saja
jht,jahat
jidad,jidat
jilbabny,jilbabnya
jilbabnyaah,jilbabnya
jilbabnye,jilbabnya
jilbb,jilbab
jing,anjing
jirr,anjir
jirrrr,anjir
jjur,jujur
jk,jika
jkrt,Jakarta
jkrta,Jakarta
jkt,Jakarta
jl,jalan
jlan2,jalan-jalan
jlas,jelas
jlbb,jilbab
jlek,jelek
jln,jalan
jln2,jalan-jalan
jls,jelas
jls2,jelas-jelas
jmbatan,jembatan
jmbtan,jembatan
jmin,jamin
jmlh,jumlah
jmn,jaman
jmnya,jamnya
jmpa,jumpa
jmpaaaa,jumpa
jmpe,jumpa
jmpt,jemput
jmptnya,jemputnya
jnagn,jangan
jnda,janda
jng,jangan
jngan,jangan
jngn,jangan
jngnn,jangan
jo,jangan
jobseeker,pencari kerja
jodohny,jodohnya
jodohx,jodohnya
jogetin,berjoget
jombsss,jomblo
jorokkkk,jorok
jorookknya,joroknya
jrang,jarang
jri,jari
jringan,jaringan
jringn,jaringan
jrngn,jaringan
jrnk,jarang
jt,juta
jtuh,jatuh
jua,juga
judulnyaa,judulnya
jug,juga
jugaa,juga
jugaaa,juga
jugaakk,juga
jugaj,juga
jugak,juga
jugo,juga
jungkiir,jungkir
justeru,justru
jwab,jawab
jwb,jawab
jwban,jawaban
jwbanny,jawabannya
jwbannya,jawabannya
jwbany,jawabannya
k,kak
k',kak
ka,kak
kaa,kak
kaaa,kak
kaaaa,kak
kaaaaa,kak
kaaaaaaaaaakkkkkkkkkkk,kak
kaaaaaann,kan
kaaakk,kak
kaaan,kan
kaak,kak
kaakaaaa,kakak
kaakk,kak
kaan,kan
kaannnn,kan
kaasian,kasihan
kabare,kabarnya
kabeh,semua
kacauuuu,kacau
kacian,kasihan
kaciiaann,kasihan
kadieu,kesini
kaditu,kesitu
kafeh,kafe
kaga,tidak
kagak,tidak
kageeet,kaget
kageet,kaget
kagk,tidak
kaitannha,kaitannya
kaj,kak
kaka,kakak
kakakaaaaaaaaaaaaaa,kakak
kakakgh,kakak
kakakkk,kakak
kakakny,kakaknya
kakakuuu,kakakku
kakanga,kakaknya
kakanya,kakaknya
kakau,kalau
kakean,kebanyakan
kakk,kak
kakkk,kak
kakkkk,kak
kakkkkk,kak
kalahnye,kalahnya
kale,kali
kaleee,kali
kaliaan,kalian
kaliann,kalian
kaliannn,kalian
kaliannnnnm,kalian
kaliannnnnn,kalian
kaliannnnnnn,kalian
kalii,kali
kaliii,kali
kaliiii,kali
kaliiiiiii,kali
kaliiin,kalian
kalik,kali
kalli,kali
kallo,kalo
kalo,kalau
kalogak,kalo enggak
kalok,kalo
kaloo,kalo
kalu,kalau
kalw,kalau
kam,kamu
kamiiii,kami
kamo,kamu
kampungn,kampungan
kamu2,kamu-kamu
kamunyaa,kamunya
kamuu,kamu
kamuuuu,kamu
kamyuhhh,kamu
kana,kanan
kanapa,kenapa
kancang,kencang
kangeeeeeeeeeeennnnn,kangen
kangeeeeeeeeennnnnnnn,kangen
kangeeeeeeeenya,kangen
kangeeeeennn,kangen
kangeeeennn,kangen
kangeeeennnnn,kangen
kangeeerrn,kangen
kangeen,kangen
kangeenn,kangen
kangem,kangen
kangenn,kangen
kangennn,kangen
kangennnn,kangen
kangennnnn,kangen
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kangennnnnn,kangen
kangennnnnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kanggen,kangen
kanggggg,kang
kann,kan
kannn,kan
kapaan,kapan
kapan2,kapan-kapan
kapn,kapan
kapolres,Kepala Kepolisian Resor
kareno,karena
karepmu,terserah kamu
karir.a,karirnya
karmaaa,karma
karna,karena
karo,sama
kartunin,kartun
"karya""",karya-karya
karya2,karya-karya
kasar2,kasar-kasar
kaseep,ganteng
kasi,kasih
kasiaannn,kasihan
kasian,kasihan
kasiannn,kasihan
kasiatnya,khasiatnya
kasihn,kasihan
kasiian,kasihan
"kata""",kata-kata
kata2,kata-kata
kata2nya,kata-katanya
kata2nyaaa,kata-katanya
katane,katanya
katany,katanya
katanyaa,katanya
kate,kata
kauuuu,kau
kawinin,mengawini
kaya,kayak
kayaa,kaya
kaya'a,kayanya
kayahhh,kaya
kayak,seperti
kayakk,kayak
kayanye,kayanya
kayaq,kayak
kayax,kayak
kbagusan,kebagusan
kbahagiaan,kebahagiaan
kbar,kabar
kbare,kabarnya
kbarin,kabari
kbawa,terbawa
kbeh,semua
kbeli,terbeli
kberkahn,keberkahan
kberngktn,keberangkatan
kbetulan,kebetulan
kbhagiaan,kebahagiaan
kbhagian,kebahagiaan
kbiasaan,kebiasaan
kbr,kabar
kbrin,kabari
kbrnya,kabarnya
kbtulan,kebetulan
kbuka,terbuka
kbun,kebun
kcantikan,kecantikan
kcepatn,kecepatan
kcewa,kecewa
kcil,kecil
kcintaan,kecintaan
kcintan,kecintaan
kclakaan,kecelakaan
kclakan,kecelakaan
kcmata,kacamata
kcwa,kecewa
kdang,kadang
kdepannya,kedepannya
kdepanya,kedepannya
kdg,terkadang
kdg2,kadang-kadang
kditu,kesitu
kdlm,kedalam
kdng,kadang
kdpan,kedepan
kdua,kedua
keak,kayak
kebagi,terbagi
"kebaikan""y",kebaikannya
kebalas,terbalas
kebangetak,kebangetan
kebanggan,kebanggaan
kebarat2an,kebarat-baratan
kebawa,terbawa
kebayang,terbayang
kebayanyaa,kebayanya
kebeli,terbeli
kebengkel,ke bengkel
keberpa,keberapa
kebersamanya,kebersamaannya
kebersehan,kebersihan
kebnyak'an,kebanyakan
kebnykn,kebanyakan
kebo,kerbau
kebongkar,terbongkar
kebrngkatan,keberangkatan
kebudayan,kebudayaan
kebukaaa,terbuka
kebukti,terbukti
kebulan,ke bulan
kebumi,ke bumi
kebut2an,kebut-kebutan
kebwah,kebawah
kebykan,kebanyakan
kecantikanga,kecantikannya
kecawa,kecewa
kece,gaul
kece2,kece-kece
keceee,kece
kecel,capek
kecelakaanya,kecelakaannya
kecelakan,kecelakaan
kecelakanya,kecelakaannya
kecengan,pasangan
kecepean,kecapean
kecepetan,terlalu cepat
kecerian,keceriaan
keche,kece
kecian,kasihan
keciil,kecil
keciill,kecil
kecik,kecil
"kecil""",kecil-kecil
kecimanggis,ke cimanggis
kecimangis,ke cimanggis
kecipondoh,ke cipondoh
kecptan,kecepatan
kecr,kece
kedaerah,ke daerah
kedatanganya,kedatangannya
kedatengan,kedatangan
kedawan,terlalu panjang
kedeketan,terlalu dekat
kedengeran,kedengaran
kedokk,kedok
kedpan,kedepan
kedpn,kedepan
kedpnnya,kedepannya
kedpnya,kedepannya
kedtngan,kedatangan
keduaa,kedua
kedufan,ke dufan
keedaannya,keadaannya
keee,ke
keeeeeren,keren
keeeerrrreeeennnnnnnnn,keren
keenaken,keenakan
kegedean,terlalu besar
kegeden,terlalu besar
kegembiran,kegembiraan
kehadiranny,kehadirannya
kehulu,ke hulu
kehutan,ke hutan
keidahan,keindahan
keiklasan,keikhlasan
keilangan,kehilangan
keinget,teringat
keinginanya,keinginannya
keistimewan,keistimewaan
keitung,terhitung
kejadia,kejadian
kejadianny,kejadiannya
kejahatn,kejahatan
kejakarta,ke Jakarta
kejar2an,kejar-kejaran
kejauan,kejauhan
kejawab,terjawab
kejayan,kejayaan
kejepit,terjepit
kejual,terjual
kejuaran,kejuaraan
kejuu,keju
kek,seperti
kekalemanya,kekalemannya
kekamar,ke kamar
kekampus,ke kampus
kekandang,ke kandang
kekasur,ke kasur
kekecewan,kekecewaan
kekemayoran,ke kemayoran
kekgini,kayak begini
kekk,kayak
kekmana,bagaimana
keknya,kayaknya
kekontrakan,ke kontrakan
kekos,ke kos
kekosanku,ke kosanku
kekota,ke kota
kekuasan,kekuasaan
kekumpul,terkumpul
kekunci,terkunci
kekuranganny,kekurangannya
kekuranganya,kekurangannya
kekuras,terkuras
kel,keluarga
kelahuran,kelahiran
kelakon,terlaksana
kelaluan,kelakuan
kelaperan,kelaparan
kelas'a,kelasnya
kelaut,ke laut
keles,kali
keleta,kereta
keliatan,kelihatan
keliatannya,kelihatannya
keliatanya,kelihatannya
kelihatanya,kelihatannya
kelindas,terlindas
kelindes,terlindas
kelja,kerja
kellen,kalian
kelokasi,ke lokasi
keluarin,keluarkan
kelus,kali
kemakan,termakan
kemana2,kemana-mana
kemarahanya,kemarahannya
kemaren,kemarin
kemariin,kemarin
kemarn,kemarin
kembaq,kembar
kembaranya,kembarannya
kembgnkan,kembangkan
kemendiknas,Kementerian Pendidikan Nasional
kemenkes,Kementerian Kesehatan
kemenkeu,Kementerian Keuangan
kemenkominfo,Kementerian Komunikasi dan Informatika
kemenkumham,Kementerian Hukum dan Hak Asasi Manusia
kemenong,kemana
kemenpera,Kementerian Perumahan Rakyat
kemenperin,Kementerian Perindustrian
kementrian,Kementerian
kemerdekan,kemerdekaan
kemis,kamis
kemn,kemana
kemonas,ke monas
kemrin,kemarin
kemuh,kamu
kemulyaan,kemuliaan
kemulyan,kemuliaan
kemusium,ke museum
kenaliiin,kenalkan
kenalin,kenalkan
kenang2an,kenang-kenangan
kenang2ngan,kenang-kenangan
kenanganya,kenangannya
kenapaa,kenapa
kenapah,kenapa
kenapasi,kenapa ya
kenape,kenapa
kenceng,cepat
kencng,kencang
kencqng,kencang
kendaran,kendaraan
kendaranya,kendaraannya
kenderaan,kendaraan
keno,kena
kenp,kenapa
kenpa,kenapa
kenyataan2,kenyataan-kenyataan
kenyatan,kenyataan
kenyatanya,kenyataannya
kepad,kepada
kepake,terpakai
kepalanye,kepalanya
kepangang,terpanggang
kepanggang,terpanggang
kepantai,ke pantai
kepantainya,ke pantainya
keparis,ke paris
kepasar,ke pasar
kepastianya,kepastiannya
kepd,kepada
kepda,kepada
kepeleset,kepleset
kepelesett,terpeleset
kepencar,terpencar
kepencet,terpencet
kepengen,ingin
kepengenya,keinginannya
kepengin,ingin
kepercayan,kepercayaan
kepercayanya,kepercayaannya
kepikir,terpikir
kepilih,terpilih
kepincut,terpincut
kepingin,pengin
kepinteran,kepintaran
kepoh,kepo
kepoin,kepo
keponakanya,keponakannya
kepotong,terpotong
kepppoin,kepoi
keprcayaan,kepercayaan
keprcayan,kepercayaan
kepribadianya,kepribadiannya
kepsek,kepala sekolah
kepulau,ke pulau
kepuncak,ke puncak
keputar,terputar
keputihn,keputihan
keputusanya,keputusannya
keq,kayak
keragunan,ke ragunan
kerajan,kerajaan
keras2,keras-keras
kerasa,terasa
